d1dlwa_,rest 14362:1.0 27001:1.0 443300:1.0 447062:1.0 473606:1.0 480106:1.0 496015:1.0 497496:1.0 500850:1.0 504471:1.0 506897:1.0 507280:1.0 508247:1.0 509864:1.0 510780:1.0 510892:1.0 514323:1.0 514447:1.0 514562:1.0 514955:1.0 515162:1.0 515968:1.0 516546:1.0 516855:1.0 518725:1.0 519627:1.0 519751:1.0
d1dlya_,rest 14362:1.0 27001:1.0 79951:1.0 405083:1.0 423710:1.0 453760:1.0 460030:1.0 473926:1.0 479309:1.0 481596:1.0 488734:1.0 492062:1.0 498142:1.0 499863:1.0 509482:1.0 509676:1.0 510421:1.0 510588:1.0 510920:1.0 513569:1.0 513811:1.0 514648:1.0 514811:1.0 517454:1.0 518144:1.0 519115:1.0 519724:1.0 521400:1.0 522143:1.0
d1rtxa_,rest 405083:1.0 423710:1.0 437758:1.0 452952:1.0 453760:1.0 455032:1.0 455715:1.0 461449:1.0 465092:1.0 481842:1.0 489291:1.0 491493:1.0 494519:1.0 495016:1.0 497308:1.0 500602:1.0 501993:1.0 502906:1.0 503929:1.0 504078:1.0 504296:1.0 504422:1.0 505773:1.0 508446:1.0 510386:1.0 515245:1.0 515601:1.0 515840:1.0 516223:1.0 516888:1.0 518717:1.0 519010:1.0 519115:1.0 519228:1.0 519365:1.0 519715:1.0 519717:1.0 519724:1.0
d1idra_,rest 412594:1.0 423424:1.0 455291:1.0 458200:1.0 458606:1.0 460069:1.0 461569:1.0 465972:1.0 467721:1.0 473606:1.0 483884:1.0 486478:1.0 486575:1.0 488199:1.0 490595:1.0 493505:1.0 495904:1.0 496511:1.0 497036:1.0 507735:1.0 507866:1.0 511466:1.0 512590:1.0 512940:1.0 514956:1.0 515294:1.0 515954:1.0 516652:1.0 518544:1.0 518630:1.0 519228:1.0 521183:1.0
d1ngka_,rest 461508:1.0 481750:1.0 484832:1.0 490420:1.0 493211:1.0 502697:1.0 503289:1.0 503512:1.0 504004:1.0 504757:1.0 505526:1.0 505983:1.0 506149:1.0 506556:1.0 507148:1.0 508669:1.0 509091:1.0 509099:1.0 511745:1.0 512642:1.0 513097:1.0 514794:1.0 516094:1.0 516119:1.0 516414:1.0 517218:1.0 518578:1.0 520147:1.0 521602:1.0
d1kr7a_,rest 350320:1.0 358942:1.0 380925:1.0 388970:1.0 418461:1.0 430014:1.0 442454:1.0 445460:1.0 449583:1.0 470419:1.0 471413:1.0 483680:1.0 484098:1.0 495408:1.0 496383:1.0 497496:1.0 501825:1.0 508474:1.0 508803:1.0 513227:1.0 514037:1.0 515373:1.0 515640:1.0 516468:1.0 517586:1.0 518553:1.0
d1scta_,a.1.1.2 31417:1.0 32645:1.0 39208:1.0 42164:1.0 42897:1.0 44918:1.0 75249:1.0 84261:1.0 93288:1.0 109825:1.0 125289:1.0 132324:1.0 173689:1.0 177639:1.0 189310:1.0 204408:1.0 233306:1.0 234188:1.0 276632:1.0 278985:1.0 286956:1.0 300125:1.0 301422:1.0 305891:1.0 313676:1.0 317116:1.0 319925:1.0 320461:1.0 325247:1.0 328858:1.0 356706:1.0 360678:1.0 366169:1.0 373906:1.0 382752:1.0 395227:1.0 399196:1.0 402344:1.0 402709:1.0 406712:1.0 407478:1.0 412594:1.0 413158:1.0 414496:1.0 416678:1.0 422672:1.0 440139:1.0 441504:1.0 442454:1.0 444820:1.0 445466:1.0 446154:1.0 449138:1.0 455291:1.0 458516:1.0 464841:1.0 468318:1.0 468335:1.0 468337:1.0 470236:1.0 472827:1.0 473606:1.0 475540:1.0 476163:1.0 479588:1.0 481974:1.0 482870:1.0 488199:1.0 490332:1.0 495726:1.0 495873:1.0 496569:1.0 497586:1.0 499777:1.0 500119:1.0 500141:1.0 500175:1.0 503749:1.0 504057:1.0 505605:1.0 505750:1.0 506229:1.0 506857:1.0 506944:1.0 507238:1.0 507280:1.0 507836:1.0 508004:1.0 508213:1.0 509405:1.0 509785:1.0 509878:1.0 512039:1.0 512055:1.0 513135:1.0 513227:1.0 513339:1.0 513996:1.0 514013:1.0 514039:1.0 515532:1.0 516070:1.0 516463:1.0 516594:1.0 517602:1.0 517821:1.0 517878:1.0 518106:1.0 518937:1.0 519027:1.0 519151:1.0 520217:1.0 520450:1.0 520541:1.0 521422:1.0 521879:1.0 521945:1.0
d1sctb_,a.1.1.2 32645:1.0 54457:1.0 59897:1.0 93288:1.0 109825:1.0 117723:1.0 132324:1.0 173689:1.0 185581:1.0 189310:1.0 204408:1.0 216564:1.0 233306:1.0 234188:1.0 255989:1.0 259255:1.0 276632:1.0 278853:1.0 278985:1.0 290753:1.0 291866:1.0 300125:1.0 301422:1.0 304793:1.0 317116:1.0 319925:1.0 325247:1.0 335533:1.0 348870:1.0 356706:1.0 363795:1.0 373906:1.0 395227:1.0 397416:1.0 399196:1.0 402344:1.0 403990:1.0 406712:1.0 407478:1.0 407927:1.0 409594:1.0 412594:1.0 413158:1.0 415731:1.0 416678:1.0 422672:1.0 435209:1.0 441504:1.0 442454:1.0 444820:1.0 445466:1.0 446154:1.0 449138:1.0 455291:1.0 455994:1.0 458516:1.0 463274:1.0 464841:1.0 467349:1.0 468318:1.0 468335:1.0 468713:1.0 470839:1.0 471242:1.0 472827:1.0 473606:1.0 474722:1.0 475540:1.0 476660:1.0 479588:1.0 481974:1.0 482601:1.0 482870:1.0 483605:1.0 487705:1.0 488199:1.0 490332:1.0 491168:1.0 491534:1.0 493154:1.0 495726:1.0 496569:1.0 498779:1.0 499030:1.0 499777:1.0 500141:1.0 503241:1.0 505256:1.0 506405:1.0 506511:1.0 506732:1.0 506857:1.0 507280:1.0 507654:1.0 507836:1.0 508920:1.0 509405:1.0 509785:1.0 509878:1.0 513013:1.0 513135:1.0 513227:1.0 513913:1.0 514013:1.0 514039:1.0 514281:1.0 515008:1.0 515532:1.0 515895:1.0 516463:1.0 517792:1.0 517821:1.0 517878:1.0 518038:1.0 518937:1.0 519151:1.0 520217:1.0 520450:1.0 520521:1.0 520874:1.0 521376:1.0 521626:1.0 521879:1.0 521945:1.0 521986:1.0
d3sdha_,a.1.1.2 44918:1.0 54457:1.0 109825:1.0 117723:1.0 132324:1.0 173689:1.0 185581:1.0 189310:1.0 198212:1.0 204408:1.0 216564:1.0 233306:1.0 238866:1.0 254256:1.0 255989:1.0 276632:1.0 278030:1.0 278853:1.0 278985:1.0 280458:1.0 300125:1.0 301422:1.0 304793:1.0 305891:1.0 309007:1.0 317116:1.0 325247:1.0 334052:1.0 335533:1.0 348870:1.0 351234:1.0 360678:1.0 385969:1.0 397416:1.0 399014:1.0 403509:1.0 403990:1.0 412594:1.0 415731:1.0 416678:1.0 422672:1.0 425014:1.0 439907:1.0 441961:1.0 446301:1.0 455135:1.0 455291:1.0 456451:1.0 461972:1.0 467349:1.0 468318:1.0 470839:1.0 472827:1.0 473606:1.0 481974:1.0 482870:1.0 487822:1.0 488199:1.0 490711:1.0 494905:1.0 495018:1.0 496385:1.0 496569:1.0 498779:1.0 500633:1.0 501315:1.0 503030:1.0 503241:1.0 503743:1.0 503933:1.0 504249:1.0 505387:1.0 506732:1.0 506979:1.0 507280:1.0 508004:1.0 508213:1.0 508400:1.0 509405:1.0 509837:1.0 509878:1.0 510417:1.0 512039:1.0 512990:1.0 514013:1.0 514704:1.0 516070:1.0 517821:1.0 519151:1.0 519566:1.0 519678:1.0 520147:1.0 520450:1.0 520874:1.0 521879:1.0 522100:1.0
d1b0b__,a.1.1.2 401271:1.0 413308:1.0 449772:1.0 465340:1.0 466846:1.0 471001:1.0 478072:1.0 481656:1.0 483101:1.0 489940:1.0 494404:1.0 498183:1.0 499444:1.0 500169:1.0 500295:1.0 501336:1.0 506255:1.0 506353:1.0 507147:1.0 507280:1.0 507785:1.0 508004:1.0 509771:1.0 509959:1.0 510091:1.0 510584:1.0 512329:1.0 512643:1.0 515504:1.0 516619:1.0 518194:1.0 522070:1.0
d1h97a_,a.1.1.2 206658:1.0 269246:1.0 282335:1.0 392653:1.0 400875:1.0 415079:1.0 436715:1.0 445460:1.0 450001:1.0 456108:1.0 475265:1.0 481717:1.0 482397:1.0 483999:1.0 484328:1.0 488782:1.0 490910:1.0 491294:1.0 495725:1.0 497412:1.0 499821:1.0 500751:1.0 501255:1.0 501753:1.0 502228:1.0 502579:1.0 505409:1.0 507280:1.0 508298:1.0 509516:1.0 509676:1.0 509832:1.0 509963:1.0 510860:1.0 512310:1.0 512937:1.0 513516:1.0 515242:1.0 515586:1.0 515848:1.0 515971:1.0 516463:1.0 516663:1.0 517765:1.0 518122:1.0 519181:1.0 520088:1.0 520217:1.0 521187:1.0 521375:1.0 521828:1.0
d1jl6a_,a.1.1.2 78970:1.0 253322:1.0 314118:1.0 343741:1.0 408677:1.0 413224:1.0 415757:1.0 443059:1.0 443621:1.0 458566:1.0 459669:1.0 471979:1.0 472041:1.0 472042:1.0 473591:1.0 476417:1.0 482259:1.0 482542:1.0 488606:1.0 492066:1.0 493073:1.0 494901:1.0 496249:1.0 500151:1.0 500169:1.0 501869:1.0 502326:1.0 504167:1.0 504589:1.0 506255:1.0 506353:1.0 508223:1.0 508730:1.0 510764:1.0 511874:1.0 512616:1.0 512993:1.0 516070:1.0 517038:1.0 517043:1.0 518615:1.0 518717:1.0 519480:1.0 519599:1.0 521332:1.0
d1jl7a_,a.1.1.2 253322:1.0 314118:1.0 408677:1.0 413224:1.0 415757:1.0 443059:1.0 443621:1.0 456027:1.0 458566:1.0 459669:1.0 471979:1.0 472041:1.0 472042:1.0 473591:1.0 476417:1.0 482259:1.0 482542:1.0 488606:1.0 492066:1.0 493073:1.0 494901:1.0 496249:1.0 500151:1.0 500169:1.0 501869:1.0 502326:1.0 504167:1.0 504589:1.0 506255:1.0 506353:1.0 508223:1.0 508730:1.0 510764:1.0 511874:1.0 512616:1.0 512993:1.0 514594:1.0 516070:1.0 517038:1.0 517043:1.0 518615:1.0 518717:1.0 519480:1.0 519599:1.0 521332:1.0
